,년도,월,Model,판매량
460,2024,4,Kona (SX2 HEV),482
461,2024,4,IONIQ 6 (CE),421
462,2024,4,Grandeur (GN7),3585
463,2024,4,Santa-Fe (MX5),2077
464,2024,4,G70 S/B (IK S/B),6
465,2024,4,GV80 Coupe (JX Coupe),381
466,2024,4,Grandeur (GN7 HEV),3500
467,2024,4,IONIQ 5 N (NE N),35
468,2024,4,Kona (SX2),2046
469,2024,4,Casper (AX EV),0
470,2024,4,Santa-Fe (MX5 HEV),3770
471,2024,4,GV70 (JK EV),74
472,2024,4,Niro Plus,123
473,2024,4,EV3,0
474,2024,4,EV9,174
475,2024,4,Bongo,4404
476,2024,5,Kona (SX2 EV),253
477,2024,5,Kona (SX2 HEV),694
478,2024,5,IONIQ 6 (CE),377
479,2024,5,Grandeur (GN7),3664
480,2024,5,Santa-Fe (MX5),1709
481,2024,5,G70 S/B (IK S/B),5
482,2024,5,GV80 Coupe (JX Coupe),401
483,2024,5,Grandeur (GN7 HEV),3220
484,2024,5,IONIQ 5 N (NE N),31
485,2024,5,Kona (SX2),1826
486,2024,5,Casper (AX EV),0
487,2024,5,Santa-Fe (MX5 HEV),3896
488,2024,5,GV70 (JK EV),56
489,2024,5,Niro Plus,67
490,2024,5,EV3,0
491,2024,5,EV9,182
492,2024,5,Bongo,4050
493,2024,6,Kona (SX2 EV),246
494,2024,6,Kona (SX2 HEV),653
495,2024,6,IONIQ 6 (CE),292
496,2024,6,Grandeur (GN7),2488
497,2024,6,Santa-Fe (MX5),1460
498,2024,6,G70 S/B (IK S/B),4
499,2024,6,GV80 Coupe (JX Coupe),226
500,2024,6,Grandeur (GN7 HEV),3215
501,2024,6,IONIQ 5 N (NE N),24
502,2024,6,Kona (SX2),1694
503,2024,6,Casper (AX EV),0
504,2024,6,Santa-Fe (MX5 HEV),3540
505,2024,6,GV70 (JK EV),42
506,2024,6,Niro Plus,65
507,2024,6,EV3,0
508,2024,6,EV9,113
509,2024,6,Bongo,3523
510,2024,7,Kona (SX2 EV),508
511,2024,7,Kona (SX2 HEV),521
512,2024,7,IONIQ 6 (CE),275
513,2024,7,Grandeur (GN7),2775
514,2024,7,Santa-Fe (MX5),1367
515,2024,7,G70 S/B (IK S/B),11
516,2024,7,GV80 Coupe (JX Coupe),275
517,2024,7,Grandeur (GN7 HEV),3512
518,2024,7,IONIQ 5 N (NE N),47
519,2024,7,Kona (SX2),1385
520,2024,7,Casper (AX EV),0
521,2024,7,Santa-Fe (MX5 HEV),3881
522,2024,7,GV70 (JK EV),36
523,2024,7,Niro Plus,14
524,2024,7,EV3,1975
525,2024,7,EV9,161
526,2024,7,Bongo,3487
527,2024,8,Kona (SX2 EV),263
528,2024,8,Kona (SX2 HEV),701
529,2024,8,IONIQ 6 (CE),405
530,2024,8,Grandeur (GN7),2674
531,2024,8,Santa-Fe (MX5),1347
532,2024,8,G70 S/B (IK S/B),18
533,2024,8,GV80 Coupe (JX Coupe),196
534,2024,8,Grandeur (GN7 HEV),3513
535,2024,8,IONIQ 5 N (NE N),41
536,2024,8,Kona (SX2),1171
537,2024,8,Casper (AX EV),1439
538,2024,8,Santa-Fe (MX5 HEV),4368
539,2024,8,GV70 (JK EV),44
540,2024,8,Niro Plus,43
541,2024,8,EV3,4002
542,2024,8,EV9,92
543,2024,8,Bongo,2990
544,2024,9,Kona (SX2 EV),632
545,2024,9,Kona (SX2 HEV),881
546,2024,9,IONIQ 6 (CE),368
547,2024,9,Grandeur (GN7),2509
548,2024,9,Santa-Fe (MX5),1237
549,2024,9,G70 S/B (IK S/B),21
550,2024,9,GV80 Coupe (JX Coupe),182
551,2024,9,Grandeur (GN7 HEV),3611
552,2024,9,IONIQ 5 N (NE N),26
553,2024,9,Kona (SX2),1148
554,2024,9,Casper (AX EV),2075
555,2024,9,Santa-Fe (MX5 HEV),4077
556,2024,9,GV70 (JK EV),19
557,2024,9,Niro Plus,3
558,2024,9,EV3,2022
559,2024,9,EV9,122
560,2024,9,Bongo,2586
561,2024,10,Kona (SX2 EV),189
562,2024,10,Kona (SX2 HEV),810
563,2024,10,IONIQ 6 (CE),866
564,2024,10,Grandeur (GN7),2949
565,2024,10,Santa-Fe (MX5),1553
566,2024,10,G70 S/B (IK S/B),8
567,2024,10,GV80 Coupe (JX Coupe),126
568,2024,10,Grandeur (GN7 HEV),4484
569,2024,10,IONIQ 5 N (NE N),25
570,2024,10,Kona (SX2),1330
571,2024,10,Casper (AX EV),2186
572,2024,10,Santa-Fe (MX5 HEV),5741
573,2024,10,GV70 (JK EV),29
574,2024,10,Niro Plus,3
575,2024,10,EV3,2107
576,2024,10,EV9,159
577,2024,10,Bongo,3183
